timestamp,max_demand_gen,highest_gen,min_gen,day_peak_gen,eve_peak_gen,eve_peak_load_shedding,max_temp,total_gas,total_energy,day_of_week,day_of_month,month,is_weekend,season
2015-06-01,7782,7782.0,5838.0,6338.0,7782,0,36.0,1003.48,157.65,0,1,6,0,0
2015-06-02,6869,6869.0,5167.0,6482.0,6869,0,36.0,1004.19,148.74,1,2,6,0,0
2015-06-03,7549,7558.0,4975.0,5658.0,7549,0,35.7,1037.43,146.43,2,3,6,0,0
2015-06-04,7676,7752.0,6017.0,6552.0,7676,0,36.2,1049.77,163.47,3,4,6,0,0
2015-06-05,7312,7444.0,5841.0,6195.0,7312,0,36.5,1029.04,165.22,4,5,6,1,0
2015-06-06,7372,7435.0,6060.0,6613.0,7372,0,34.8,1029.04,161.25,5,6,6,1,0
2015-06-07,7496,7496.0,6092.0,6861.0,7496,0,35.6,1015.44,170.66,6,7,6,0,0
2015-06-08,7573,7704.0,6197.0,6656.0,7573,0,36.0,1005.77,164.1,0,8,6,0,0
2015-06-09,7653,7653.0,5957.0,6840.0,7653,0,35.0,1028.93,165.19,1,9,6,0,0
2015-06-10,7385,7385.0,5843.0,6036.0,7385,0,31.2,959.16,155.58,2,10,6,0,0
2015-06-11,7385,7385.0,5843.0,6036.0,7385,0,31.2,959.16,155.58,3,11,6,0,0
2015-06-12,7385,7385.0,5843.0,6036.0,7385,0,31.2,959.16,155.58,4,12,6,1,0
2015-06-13,6966,6966.0,4476.0,4476.0,6966,0,31.6,921.74,137.7,5,13,6,1,0
2015-06-14,6869,6869.0,4722.0,5504.0,6869,0,32.5,960.05,139.72,6,14,6,0,0
2015-06-15,7200,7208.0,5142.0,6019.0,7200,0,31.6,985.15,147.2,0,15,6,0,0
2015-06-16,7300,7085.0,4988.0,6018.0,7085,194,31.6,959.24,146.31,1,16,6,0,0
2015-06-17,7297,7297.0,5431.0,6051.0,7297,0,32.6,996.82,149.24,2,17,6,0,0
2015-06-18,7500,7348.0,5586.0,6184.0,7279,200,33.6,998.1,151.16,3,18,6,0,0
2015-06-19,7650,7407.0,5627.0,5685.0,7407,219,35.0,989.84,153.51,4,19,6,1,0
2015-06-20,7700,7407.0,5992.0,6265.0,7407,264,34.2,1020.69,157.4,5,20,6,1,0
2015-06-21,7600,7472.0,5964.0,6272.0,7397,183,33.0,1041.85,158.51,6,21,6,0,0
2015-06-22,7365,7365.0,5420.0,5845.0,7365,0,29.3,1039.36,148.64,0,22,6,0,0
2015-06-23,7513,7513.0,4918.0,5822.0,7513,0,30.7,1084.24,148.85,1,23,6,0,0
2015-06-24,7632,7632.0,4973.0,5828.0,7632,0,30.5,1042.08,144.64,2,24,6,0,0
2015-06-25,7343,7343.0,4717.0,5521.0,7343,0,29.2,993.35,143.84,3,25,6,0,0
2015-06-26,7212,7212.0,4420.0,4858.0,7212,0,29.5,936.07,132.66,4,26,6,1,0
2015-06-27,7121,7121.0,4552.0,4970.0,7121,0,28.3,991.1,132.92,5,27,6,1,0
2015-06-28,7475,7475.0,4504.0,5496.0,7475,0,30.0,1026.43,136.87,6,28,6,0,0
2015-06-29,7719,7719.0,4857.0,6074.0,7719,0,33.4,1077.48,148.41,0,29,6,0,0
2015-06-30,7802,7802.0,5184.0,6116.0,7802,0,36.0,1137.97,154.18,1,30,6,0,1
2015-07-01,7923,7923.0,5675.0,6458.0,7923,0,34.0,1152.32,160.67,2,1,7,0,1
2015-07-02,7858,7858.0,5784.0,6461.0,7858,0,32.5,1113.08,156.84,3,2,7,0,1
2015-07-03,7810,7810.0,5345.0,5616.0,7810,0,34.0,1126.3,150.41,4,3,7,1,1
2015-07-04,7744,7744.0,5723.0,6537.0,7744,0,35.2,1150.37,161.11,5,4,7,1,1
2015-07-05,8032,8032.0,5645.0,6521.0,8032,0,33.0,1147.86,163.7,6,5,7,0,1
2015-07-06,8122,8122.0,5942.0,6697.0,8122,0,34.0,1148.52,167.42,0,6,7,0,1
2015-07-07,8122,8122.0,5942.0,6697.0,8122,0,34.0,1148.52,167.42,1,7,7,0,1
