Date,Max. Demand (Generation end) MW,Max. Demand (Sub-station end) MW,Highest Generation (Generation end) MW,Minimum Generation (Generation end) MW,Day-peak Generation (Generation end) MW,Evening-peak Generation (Generation end) MW,Evening Peak Load-shed (Sub-station end) MW,Water Level of Kaptai Lake at 06:00 AM ft,Rule Curve ft,Maximum Temperature in Dhaka (C),Total Gas Supplied MMCFD,Total Energy (Generation + India Import) MKWh,Dhaka (Demand at Evening Peak),Mymensingh (Demand at Evening Peak),Chattogram (Demand at Evening Peak),Sylhet (Demand at Evening Peak),Khulna (Demand at Evening Peak),Barishal (Demand at Evening Peak),Rajshahi (Demand at Evening Peak),Rangpur (Demand at Evening Peak),Cumilla (Demand at Evening Peak)
31.05.15,7817.00,7273.00,7817.00,5623.00,6529.00,7817.00,0.00,78.99,76.00,35.5,1007.95,157.20,3046,460,707,270,832,160,785,370,643
01.06.15,7782.00,7206.00,7782.00,5838.00,6338.00,7782.00,0.00,78.95,73.26,36,1003.48,157.65,3048,463,736,259,828,141,732,374,625
02.06.15,6869.00,6348.00,6869.00,5167.00,6482.00,6869.00,0.00,78.85,76.52,36,1004.19,148.74,2456,433,682,244,696,146,668,397,626
03.06.15,7549.00,7023.00,7558.00,4975.00,5658.00,7549.00,0.00,78.50,76.78,35.7,1037.43,146.43,2669,497,726,293,800,155,786,434,663
04.06.15,7676.00,7098.00,7752.00,6017.00,6552.00,7676.00,0.00,78.18,77.04,36.2,1049.77,163.47,2869,475,722,297,829,161,765,388,592
05.06.15,7312.00,6805.00,7444.00,5841.00,6195.00,7312.00,0.00,77.90,77.30,36.5,1029.04,165.22,2751,423,666,296,723,141,737,415,653
06.06.15,7372.00,6734.00,7435.00,6060.00,6613.00,7372.00,0.00,77.66,77.56,34.8,1029.04,161.25,2891,431,709,253,672,151,660,361,606
07.06.15,7496.00,6909.00,7496.00,6092.00,6861.00,7496.00,0.00,77.36,77.82,35.6,1015.44,170.66,2923,389,705,276,781,150,773,372,540
08.06.15,7573.00,7123.00,7704.00,6197.00,6656.00,7573.00,0.00,76.90,78.08,36.0,1005.77,164.10,3064,398,738,310,757,141,760,364,591
09.06.15,7653.00,7092.00,7653.00,5957.00,6840.00,7653.00,0.00,76.28,78.34,35.0,1028.93,165.19,2974,402,728,275,808,153,768,356,628
10.06.15,7385.00,6921.00,7385.00,5843.00,6036.00,7385.00,0.00,75.36,78.60,31.2,959.16,155.58,2825,415,717,263,821,154,773,376,577
13.06.15,6966.00,6552.00,6966.00,4476.00,4476.00,6966.00,0.00,74.34,79.41,31.6,921.74,137.70,2597,401,710,266,735,144,721,401,577
14.06.15,6869.00,6247.00,6869.00,4722.00,5504.00,6869.00,0.00,74.59,79.68,32.5,960.05,139.72,2587,364,685,288,685,148,648,311,531
15.06.15,7200.00,6702.00,7208.00,5142.00,6019.00,7200.00,0.00,74.70,79.95,31.6,985.15,147.20,2717,423,695,285,790,151,690,368,583
16.06.15,7300.00,6708.00,7085.00,4988.00,6018.00,7085.00,194.00,74.78,80.22,31.6,959.24,146.31,2685,385,730,266,810,147,720,375,590
17.06.15,7297.00,6797.00,7297.00,5431.00,6051.00,7297.00,0.00,74.87,80.49,32.6,996.82,149.24,2819,412,724,307,737,141,765,377,515
18.06.15,7500.00,6913.00,7348.00,5586.00,6184.00,7279.00,200.00,74.77,80.76,33.6,998.10,151.16,2815,440,765,202,765,142,727,424,633
19.06.15,7650.00,7126.00,7407.00,5627.00,5685.00,7407.00,219.00,74.41,81.03,35.0,989.84,153.51,2787,459,780,312,840,158,750,380,660
20.06.15,7700.00,7051.00,7407.00,5992.00,6265.00,7407.00,264.00,74.15,81.30,34.2,1020.69,157.40,2870,475,678,272,820,166,785,375,610
21.06.15,7600.00,7071.00,7472.00,5964.00,6272.00,7397.00,183.00,74.24,81.57,33,1041.85,158.51,2834,455,735,267,850,160,750,410,610
22.06.15,7365.00,6857.00,7365.00,5420.00,5845.00,7365.00,0.00,74.37,81.84,29.3,1039.36,148.64,2730,468,642,299,840,131,757,371,619
23.06.15,7513.00,7018.00,7513.00,4918.00,5822.00,7513.00,0.00,74.92,82.11,30.7,1084.24,148.85,2850,457,682,293,841,143,704,405,643
24.06.15,7632.00,7096.00,7632.00,4973.00,5828.00,7632.00,0.00,76.10,82.38,30.5,1042.08,144.64,2899,450,691,302,836,143,765,410,600
25.06.15,7343.00,6809.00,7343.00,4717.00,5521.00,7343.00,0.00,78.22,82.85,29.2,993.35,143.84,2747,436,622,311,821,132,728,389,623
