Date,Max. Demand (Generation end) MW,Highest Generation (Generation end) MW,Minimum Generation (Generation end) MW,Day-peak Generation (Generation end) MW,Evening-peak Generation (Generation end) MW,Evening Peak Load-shed (Sub-station end) MW,Water Level of Kaptai Lake at 06:00 AM ft,Maximum Temperature in Dhaka (C),Total Gas Supplied MMCFD,Total Energy (Generation + India Import) MKWh
31.05.15,7817.0,7817.0,5623.0,6529.0,7817.0,0.0,78.99,35.5,1007.95,157.2
01.06.15,7782.0,7782.0,5838.0,6338.0,7782.0,0.0,78.95,36,1003.48,157.65
02.06.15,6869.0,6869.0,5167.0,6482.0,6869.0,0.0,78.85,36,1004.19,148.74
03.06.15,7549.0,7558.0,4975.0,5658.0,7549.0,0.0,78.5,35.7,1037.43,146.43
04.06.15,7676.0,7752.0,6017.0,6552.0,7676.0,0.0,78.18,36.2,1049.77,163.47
05.06.15,7312.0,7444.0,5841.0,6195.0,7312.0,0.0,77.9,36.5,1029.04,165.22
06.06.15,7372.0,7435.0,6060.0,6613.0,7372.0,0.0,77.66,34.8,1029.04,161.25
07.06.15,7496.0,7496.0,6092.0,6861.0,7496.0,0.0,77.36,35.6,1015.44,170.66
08.06.15,7573.0,7704.0,6197.0,6656.0,7573.0,0.0,76.9,36.0,1005.77,164.1
09.06.15,7653.0,7653.0,5957.0,6840.0,7653.0,0.0,76.28,35.0,1028.93,165.19
10.06.15,7385.0,7385.0,5843.0,6036.0,7385.0,0.0,75.36,31.2,959.16,155.58
13.06.15,6966.0,6966.0,4476.0,4476.0,6966.0,0.0,74.34,31.6,921.74,137.7
14.06.15,6869.0,6869.0,4722.0,5504.0,6869.0,0.0,74.59,32.5,960.05,139.72
15.06.15,7200.0,7208.0,5142.0,6019.0,7200.0,0.0,74.7,31.6,985.15,147.2
16.06.15,7300.0,7085.0,4988.0,6018.0,7085.0,194.0,74.78,31.6,959.24,146.31
17.06.15,7297.0,7297.0,5431.0,6051.0,7297.0,0.0,74.87,32.6,996.82,149.24
18.06.15,7500.0,7348.0,5586.0,6184.0,7279.0,200.0,74.77,33.6,998.10,151.16
19.06.15,7650.0,7407.0,5627.0,5685.0,7407.0,219.0,74.41,35.0,989.84,153.51
20.06.15,7700.0,7407.0,5992.0,6265.0,7407.0,264.0,74.15,34.2,1020.69,157.4
21.06.15,7600.0,7472.0,5964.0,6272.0,7397.0,183.0,74.24,33,1041.85,158.51
